Término	Clase1	Clase2	Clase3	Clase4
aracuano	ethnicity	nationality		
blanco	ethnicity			
bolillo	ethnicity			
cabeza  cuadrada 	nationality			
cabecita	negra	ethnicity		
caco	class			
cacorro	sexual	orientation		
cerrero	class			
chale	ethnicity	nationality		
champiñón	nationality			
chapetón	ethnicity			
chapetona	ethnicity			
chapin	nationality			
chapina	nationality			
charnega	ethnicity			
charnego	ethnicity			
chele				
chelo				
Chilango	nationality			
cholero	class			
cholo	ethnicity			
cocolo	ethnicity			
disminuido	disability			
escuaca				
gabacho	ethnicity	nationality		
gringa	ethnicity			
gringo	ethnicity			
guajiro	nationality	class		
güera				
güero				
impedido	disability			
incapaz	disability			
india	ethnicity			
indio	ethnicity			
indio ladino	ethnicity			
jíbaro	class			
jincho	ethnicity			
Jincho papujo	ethnicity			
judas	ethnicity	nationality	religion	class
lagartona	gender			
levis	sexual	orientation		
maldito	Bori	ethnicity	nationality	
mandilón	gender			
maricón	sexual	orientation		
marrano	ethnicity	religion		
marrón	ethnicity			
mayate	ethnicity			
mestizo	ethnicity			
minusválido	disability			
mocho	disability			
mongólico	disability			
mojado	ethnicity	nationality		
mojo	ethnicity	nationality		
mollo	ethnicity			
mongol	disability			
mongolo	disability			
moreno	ethnicity			
moro	ethnicity	nationality	religion	
naca	ethnicity	nationality	class	
naco	ethnicity	nationality	class	
negro de mierda	ethnicity			
pato	sexual	orientation		
payoponi	ethnicity	nationality		
perra	gender			
perroflauta	class			
pinche negro	ethnicity			
pocha	ethnicity	nationality		
pocho	ethnicity	nationality		
polacos	ethnicity	nationality		
prieto	ethnicity			
puta	gender			
puto	gender	sexual	orientation	
retrasado	mental	disability		
ruco				
sudaca	ethnicity	nationality		
zambo	ethnicity	nationality		
zorra	gender			
